aargang,kmL,drivkraft
2013,25.0,Diesel
2019,23.4,Benzin
2020,336.0,El
2014,25.0,Diesel
2007,14.5,Benzin
2016,16.9,Benzin
2018,25.6,Diesel
2020,20.4,Benzin
2016,15.6,Benzin
2018,12.0,Benzin
2020,22.9,Benzin
2018,20.8,Diesel
2018,29.4,Diesel
2016,26.3,Benzin
2017,23.3,Diesel
2016,18.5,Diesel
2017,18.9,Benzin
2021,414.0,El
2020,20.4,Benzin
2020,20.4,Benzin
2021,24.4,Diesel
2020,21.2,Benzin
2021,45.7,Hybrid (Benzin + El)
2020,20.4,Benzin
2020,23.9,Benzin
2020,23.9,Benzin
2021,19.3,Benzin
2019,16.6,Diesel
2017,22.4,Diesel
2020,23.4,Benzin
2016,14.3,Diesel
2015,16.7,Diesel
2016,12.3,Benzin
2019,8.4,Benzin
2016,10.6,Benzin
2006,16.7,Benzin
2019,14.9,Benzin
2006,12.3,Diesel
2020,410.0,El
2015,30.3,Diesel
2019,16.2,Benzin
2013,16.7,Benzin
2009,22.2,Diesel
2020,23.9,Benzin
2017,33.3,Diesel
2012,22.7,Benzin
2019,23.9,Benzin
2016,15.2,Diesel
2017,14.5,Benzin
2017,24.4,Diesel
2006,9.3,Benzin
2015,26.3,Benzin
2017,21.7,Diesel
2020,33.8,Hybrid (Benzin + El)
2021,38.6,Hybrid (Benzin + El)
2014,20.4,Benzin
2020,33.8,Hybrid (Benzin + El)
2013,24.4,Benzin
2017,19.6,Benzin
2015,14.5,Diesel
2019,26.2,Diesel
2017,11.9,Benzin
2009,18.9,Diesel
2018,42.1,Hybrid (Benzin + El)
2010,17.5,Benzin
2016,31.3,Diesel
2012,28.6,Hybrid (Benzin + El)
2006,11.6,Benzin
2018,8.5,Benzin
2020,34.4,Hybrid (Benzin + El)
2018,24.9,Hybrid (Benzin + El)
2018,20.8,Diesel
2014,14.1,Diesel
2013,16.9,Diesel
2016,15.4,Diesel
2018,35.1,Hybrid (Benzin + El)
2014,14.9,Diesel
2017,22.7,Diesel
2015,22.2,Benzin
2020,33.3,Diesel
2017,21.7,Benzin
2015,528.0,El
2019,26.8,Diesel
2015,25.6,Diesel
2019,22.4,Diesel
2013,29.4,Diesel
2017,22.7,Diesel
2018,22.7,Diesel
2019,18.9,Benzin
2018,22.7,Diesel
2015,22.2,Benzin
2020,25.6,Benzin
2021,22.4,Benzin
2020,25.6,Benzin
2019,22.0,Benzin
2021,44.0,Hybrid (Benzin + El)
2013,12.3,Diesel
2017,30.2,Hybrid (Benzin + El)
2018,20.8,Benzin
2014,23.8,Benzin
2015,20.0,Diesel
2021,417.0,El
2019,19.0,Benzin
2018,32.3,Hybrid (Benzin + El)
2008,14.7,Benzin
2020,20.0,Benzin
2017,25.0,Diesel
2016,13.7,Diesel
2006,9.6,Benzin
2017,16.7,Diesel
2015,22.7,Diesel
2014,16.7,Diesel
2017,15.4,Benzin
2015,19.2,Benzin
2021,506.0,El
2017,11.0,Benzin
2020,17.2,Benzin
2018,16.1,Benzin
2009,20.4,Diesel
2012,11.4,Benzin
2013,24.4,Benzin
2006,21.3,Diesel
2006,13.0,Benzin
2018,18.9,Diesel
2011,18.5,Diesel
2009,18.5,Benzin
2010,20.0,Benzin
2007,17.5,Diesel
2008,17.5,Diesel
2016,22.7,Diesel
2020,231.0,El
2015,21.3,Benzin
2020,419.0,El
2020,13.3,Diesel
2017,11.9,Benzin
2021,20.0,Diesel
2016,16.4,Diesel
2010,22.7,Benzin
2011,19.2,Diesel
2013,23.3,Benzin
2014,26.3,Diesel
2014,18.9,Diesel
2020,18.6,Benzin
2015,17.2,Benzin
2011,20.8,Benzin
2020,484.0,El
2016,28.6,Diesel
2017,21.3,Benzin
2014,18.9,Diesel
2016,24.4,Benzin
2009,20.4,Diesel
2021,20.8,Benzin
2016,17.9,Diesel
2012,20.8,Benzin
2021,423.0,El
2014,28.6,Diesel
2020,31.1,Hybrid (Benzin + El)
2016,18.9,Diesel
2012,17.2,Benzin
2018,20.4,Diesel
2009,14.7,Diesel
2012,21.7,Diesel
2019,21.6,Benzin
2011,15.9,Benzin
2017,13.9,Diesel
2011,16.9,Benzin
2016,17.5,Diesel
2017,13.9,Diesel
2010,25.0,Diesel
2016,22.7,Diesel
2014,26.3,Benzin
2009,15.9,Benzin
2012,20.0,Benzin
2007,15.4,Benzin
2017,20.0,Benzin
2006,12.0,Benzin
2015,27.8,Diesel
2009,19.2,Diesel
2015,19.2,Benzin
2021,17.7,Diesel
2006,16.4,Benzin
2021,25.7,Benzin
2014,31.3,Diesel
2007,17.2,Diesel
2008,16.7,Benzin
2020,133.0,El
2013,12.5,Benzin
2010,18.2,Benzin
2010,22.2,Diesel
2008,15.6,Benzin
2012,20.0,Benzin
2018,10.5,Benzin
2009,18.9,Benzin
2008,9.4,Benzin
2019,17.5,Diesel
2019,21.6,Diesel
2020,19.2,Diesel
2016,23.3,Benzin
2021,44.0,Hybrid (Benzin + El)
2013,20.0,Diesel
2011,18.9,Diesel
2012,19.6,Diesel
2018,31.3,Diesel
2011,19.2,Benzin
2018,22.2,Benzin
2019,26.8,Diesel
2012,12.0,Diesel
2020,28.9,Benzin
2014,24.4,Benzin
2019,23.4,Diesel
2018,19.6,Benzin
2016,26.3,Diesel
2013,10.1,Benzin
2015,27.8,Hybrid (Benzin + El)
2015,31.3,Diesel
2019,560.0,El
2015,22.2,Diesel
2010,16.9,Benzin
2010,30.3,Diesel
2020,30.6,Diesel
2008,20.0,Diesel
2013,9.1,Benzin
2006,15.6,Benzin
2018,22.7,Benzin
2007,16.4,Benzin
2007,14.5,Benzin
2017,20.0,Diesel
2020,20.4,Benzin
2012,15.6,Diesel
2016,24.4,Diesel
2015,26.3,Benzin
2016,20.4,Diesel
2018,21.7,Benzin
2020,23.9,Benzin
2015,21.7,Diesel
2011,18.9,Diesel
2018,18.2,Benzin
2015,16.4,Benzin
2015,27.8,Benzin
2009,13.0,Benzin
2021,17.2,Benzin
2019,270.0,El
2015,24.4,Benzin
2020,33.9,Hybrid (Diesel + El)
2019,24.4,Diesel
2015,21.3,Benzin
2016,22.7,Benzin
2020,24.4,Benzin
2016,23.3,Benzin
2015,22.7,Diesel
2013,17.9,Diesel
2020,62.5,Hybrid (Benzin + El)
2020,26.2,Benzin
2017,31.6,Hybrid (Benzin + El)
2020,21.6,Diesel
2020,560.0,El
2013,24.4,Benzin
2016,30.1,Hybrid (Benzin + El)
2015,16.1,Benzin
2015,21.7,Diesel
2014,19.2,Diesel
2012,22.2,Diesel
2015,24.4,Diesel
2014,22.7,Diesel
2016,13.2,Benzin
2020,20.4,Benzin
2018,26.3,Benzin
2015,20.8,Diesel
2018,24.4,Benzin
2018,19.6,Benzin
2021,17.5,Benzin
2018,18.5,Benzin
2017,31.3,Diesel
2013,23.8,Diesel
2016,20.4,Benzin
2013,22.2,Benzin
2010,11.1,Benzin
2011,12.7,Diesel
2012,15.9,Benzin
2018,27.8,Diesel
2018,18.5,Benzin
2019,22.4,Benzin
2021,26.3,Diesel
2018,20.0,Benzin
2021,21.7,Benzin
2012,21.3,Benzin
2017,17.9,Diesel
2011,25.6,Diesel
2021,22.8,Benzin
2017,15.6,Diesel
2014,11.0,Benzin
2015,22.2,Diesel
2009,13.9,Diesel
2016,31.8,Hybrid (Benzin + El)
2011,22.2,Benzin
2010,11.1,Benzin
2010,15.9,Benzin
2017,20.0,Diesel
2017,33.3,Diesel
2016,130.0,El
2013,24.4,Benzin
2017,15.9,Diesel
2020,32.1,Hybrid (Benzin + El)
2021,221.0,El
2017,22.2,Diesel
2019,23.4,Benzin
2015,22.2,Diesel
2011,23.3,Diesel
2020,410.0,El
2020,34.4,Diesel
2017,15.6,Diesel
2018,25.0,Diesel
2009,13.0,Benzin
2021,26.2,Benzin
2021,25.6,Benzin
2021,18.3,Diesel
2016,15.6,Benzin
2017,16.1,Benzin
2016,27.8,Diesel
2016,15.9,Benzin
2016,17.9,Benzin
2020,275.0,El
2017,25.0,Diesel
2019,22.4,Diesel
2013,23.8,Diesel
2016,12.0,Benzin
2009,15.6,Diesel
2018,33.3,Diesel
2016,15.9,Benzin
2013,28.6,Diesel
2017,21.7,Diesel
2012,20.0,Benzin
2018,17.5,Diesel
2018,22.7,Diesel
2021,18.9,Benzin
2016,18.5,Benzin
2018,23.8,Diesel
2020,424.0,El
2015,20.4,Benzin
2020,19.6,Diesel
2008,15.2,Diesel
2016,25.0,Benzin
2013,15.6,Benzin
2015,25.6,Diesel
2017,23.3,Benzin
2016,16.9,Benzin
2018,11.1,Benzin
2020,30.6,Diesel
2019,17.5,Diesel
2021,19.5,Benzin
2014,24.4,Diesel
2020,30.6,Hybrid (Benzin + El)
2021,37.9,Hybrid (Benzin + El)
2017,31.3,Diesel
2021,37.9,Hybrid (Benzin + El)
2017,22.2,Diesel
2010,17.2,Diesel
2006,15.2,Benzin
2017,15.6,Diesel
2017,15.2,Diesel
2011,25.0,Diesel
2017,20.0,Diesel
2018,17.5,Diesel
2021,23.9,Benzin
2015,7.4,Benzin
2020,21.6,Benzin
2019,19.6,Benzin
2020,20.0,Benzin
2021,40.0,Hybrid (Benzin + El)
2020,419.0,El
2013,15.9,Benzin
2020,23.4,Benzin
2020,23.4,Benzin
2020,23.4,Benzin
2020,23.4,Benzin
2020,21.6,Benzin
2020,23.4,Benzin
2020,21.6,Benzin
2021,22.4,Benzin
2016,19.6,Benzin
2020,423.0,El
2021,417.0,El
2020,23.4,Benzin
2020,21.6,Benzin
2020,25.0,Benzin
2018,14.7,Benzin
2020,21.6,Benzin
2020,18.3,Benzin
2013,23.3,Benzin
2013,24.4,Benzin
2020,21.6,Benzin
2007,12.2,Benzin
2016,13.5,Diesel
2021,20.8,Benzin
2011,20.0,Benzin
2021,479.0,El
2021,35.8,Hybrid (Benzin + El)
2020,21.2,Benzin
2020,23.4,Benzin
2016,25.0,Diesel
2021,35.8,Hybrid (Benzin + El)
2010,19.6,Benzin
2021,42.5,Hybrid (Benzin + El)
2021,14.9,Diesel
2018,12.2,Benzin
2017,12.0,Benzin
2021,19.8,Benzin
2017,20.4,Benzin
2021,19.7,Benzin
2016,26.3,Diesel
2018,15.6,Diesel
2018,21.3,Benzin
2016,20.4,Hybrid (Benzin + El)
2013,21.3,Diesel
2014,15.6,Diesel
2015,20.0,Diesel
2006,15.5,Benzin
2010,19.2,Benzin
2020,38.1,Hybrid (Benzin + El)
2015,14.1,Diesel
2018,35.1,Hybrid (Benzin + El)
2012,23.3,Diesel
2020,18.2,Diesel
2020,383.0,El
2020,20.8,Benzin
2020,20.8,Benzin
2021,22.9,Benzin
2020,18.6,Benzin
2021,22.9,Benzin
2021,22.9,Benzin
2019,18.6,Benzin
2015,15.2,Diesel
2018,16.7,Diesel
2020,14.7,Benzin
2015,12.8,Benzin
2021,479.0,El
2021,22.9,Benzin
2017,18.2,Benzin
2021,34.7,Hybrid (Benzin + El)
2021,42.4,Hybrid (Benzin + El)
2021,21.6,Benzin
2019,23.4,Diesel
2020,18.0,Diesel
2018,12.0,Benzin
2017,12.0,Benzin
2017,18.9,Diesel
2021,38.8,Hybrid (Benzin + El)
2019,410.0,El
2018,12.0,Benzin
2021,22.9,Benzin
2018,13.7,Benzin
2019,20.0,Diesel
2020,26.2,Diesel
2020,23.4,Diesel
2016,19.2,Diesel
2015,23.3,Hybrid (Diesel + El)
2017,24.4,Diesel
2015,19.6,Diesel
2013,23.8,Diesel
2015,27.0,Diesel
2011,17.5,Diesel
2008,22.2,Diesel
2013,19.6,Diesel
2018,17.5,Diesel
2019,21.6,Benzin
2008,12.7,Benzin
2020,21.2,Benzin
2018,19.6,Benzin
2015,460.0,El
2016,22.2,Benzin
2021,23.9,Benzin
2018,23.3,Diesel
2021,23.4,Benzin
2021,21.6,Benzin
2016,22.2,Diesel
2014,17.9,Benzin
2014,23.3,Diesel
2006,12.2,Benzin
2018,35.1,Hybrid (Benzin + El)
2016,17.9,Benzin
2017,130.0,El
2017,310.0,El
2021,44.0,Hybrid (Benzin + El)
2014,27.8,Diesel
2021,19.3,Benzin
2016,32.7,Hybrid (Benzin + El)
2017,20.8,Benzin
2020,22.9,Benzin
2013,27.8,Diesel
2017,33.3,Diesel
2015,23.3,Benzin
2015,23.8,Benzin
2020,31.4,Diesel
2018,19.6,Benzin
2012,8.4,Benzin
2017,17.5,Diesel
2014,24.4,Benzin
2015,26.3,Benzin
2018,24.4,Hybrid (Benzin + El)
2016,23.8,Benzin
2020,47.1,Hybrid (Benzin + El)
2021,464.0,El
2019,15.3,Benzin
2020,27.3,Hybrid (Benzin + El)
2014,16.1,Diesel
2017,15.6,Benzin
2019,15.3,Benzin
2018,22.7,Diesel
2019,22.4,Diesel
2020,30.3,Hybrid (Benzin + El)
2018,20.4,Diesel
2017,22.7,Diesel
2020,231.0,El
2015,18.9,Diesel
2017,27.9,Hybrid (Benzin + El)
2016,18.2,Diesel
2017,22.7,Diesel
2014,20.4,Benzin
2019,21.2,Diesel
2016,16.1,Diesel
2010,14.1,Benzin
2020,16.7,Diesel
2020,16.9,Diesel
2020,10.2,Benzin
2015,20.8,Diesel
2017,20.4,Benzin
2020,22.9,Diesel
2018,22.2,Diesel
2015,23.3,Diesel
2021,17.2,Diesel
2014,21.7,Diesel
2015,22.7,Diesel
2021,28.2,Benzin
2019,27.5,Hybrid (Benzin + El)
2016,36.4,Hybrid (Benzin + El)
2009,22.7,Diesel
2017,11.2,Benzin
2016,12.2,Diesel
2018,19.6,Benzin
2012,21.3,Diesel
2015,18.2,Hybrid (Benzin + El)
2009,14.7,Diesel
2017,20.4,Benzin
2015,18.5,Benzin
2013,16.1,Diesel
2013,22.2,Benzin
2020,20.8,Benzin
2013,19.6,Benzin
2021,25.6,Diesel
2018,22.2,Diesel
2016,22.7,Benzin
2021,19.6,Benzin
2015,20.4,Benzin
2017,26.3,Benzin
2017,280.0,El
2021,20.4,Benzin
2021,312.0,El
2016,23.8,Benzin
2017,23.3,Diesel
2008,16.7,Diesel
2017,20.8,Benzin
2016,26.3,Diesel
2019,19.3,Benzin
2013,9.1,Benzin
2006,8.7,Benzin
2010,18.9,Benzin
2018,16.9,Benzin
2012,27.8,Diesel
2013,20.8,Diesel
2018,22.7,Diesel
2016,11.8,Diesel
2015,22.2,Benzin
2007,11.1,Benzin
2015,18.2,Benzin
2021,21.2,Diesel
2020,32.4,Hybrid (Benzin + El)
2016,13.9,Diesel
2018,27.0,Diesel
2018,18.2,Benzin
2019,600.0,El
2016,22.2,Diesel
