Year;Make-model-year-fuel;Make;Model;Variant;Size segment;Fuel-size segment;No. of registrations;Shares;Prices (2015-DKK);Ownership cost (DKK);Weight (kg);Fuel;Engine effect (kW);Horsepower;Size (m3);Footprint (m�);Cost/km (DKK);fuelPrice (DKK/unit)
2006;toyota-avensis-2006-Benzin;toyota;avensis;1,8 STW MAN.;Small;BenzinSmall;5428;0.002156418;4033492991,00;3.468.852.055;1820;Benzin;108;1.393.076.923;1.257.344;8.223.261.538;0.813669065;11.31
2006;volkswagen-passat-2006-Diesel;volkswagen;passat;2,0 TDI;Large;DieselLarge;5378;0.002136554;3785046729,00;352.803.014;2170;Diesel;103;1.283.333.333;12.734.904;8.657.173.611;0.681879195;10.16
2006;renault-clio-2006-Benzin;renault;clio;1,2 8V 60 HK;Small;BenzinSmall;4518;0.001794896;1343446262,00;1.188.990.321;1425;Benzin;43;60;8.872.728;62.484;0.677245509;11.31
2006;suzuki-swift-2006-Benzin;suzuki;swift;1,5;Small;BenzinSmall;4406;0.001750401;163536215,00;1.350.598.194;1475;Benzin;68;94;93.795;6.253;0.734415584;11.31
2006;fiat-punto-2006-Benzin;fiat;punto;1,2;Small;BenzinSmall;3743;0.001487007;1502873832,00;1.351.884.225;1590;Benzin;48;6.388.888.889;9.483.248;6.392.844.444;0.689634146;11.31
2006;skoda-octavia-2006-Diesel;skoda;octavia;1,9 TDI;Small;DieselSmall;3577;0.001421059;2943913551,00;2.736.175.776;2045;Diesel;103;1.151.428.571;11.809.794;80.889;0.615757576;10.16
2006;skoda-fabia-2006-Benzin;skoda;fabia;1,4 COMBI;Small;BenzinSmall;3421;0.001359084;1799018692,00;1.635.172.438;1600;Benzin;74;71.5;1.009.635;6.963;0.677245509;11.31
2006;toyota-corolla-2006-Benzin;toyota;corolla;1,6 STW.;Small;BenzinSmall;3302;0.001311808;3817266355,00;3.287.751.436;1650;Benzin;81;103.5;1.131.165;734.445;0.813669065;11.31
2006;hyundai-getz-2006-Benzin;hyundai;getz;1,6;Small;BenzinSmall;2884;0.001145746;128478972,00;100.688.288;1500;Benzin;71;84.2;9.480.423;6.358.416;0.677245509;11.31
2006;peugeot-307-2006-Benzin;peugeot;307;2,0 I MPV;Large;BenzinLarge;2649;0.001052386;2329007009,00;1.816.039.934;1950;Benzin;80;140;10.896.512;7.697.217.751;0.87;11.31
2006;mazda-6-2006-Benzin;mazda;6;2,0 STATIONSCAR;Large;BenzinLarge;2599;0.001032522;3271028037,00;2.384.121.495;1875;Benzin;108;147;12.021.408;83.482;0.9048;11.31
2006;suzuki-liana-2006-Benzin;suzuki;liana;1,6 L;Small;BenzinSmall;2590;0.001028947;204432243,00;1.688.192.198;1650;Benzin;79;107;11.080.485;71.994;0.78;11.31
2006;suzuki-ignis-2006-Benzin;suzuki;ignis;1,3 L 2 WD;Small;BenzinSmall;2551;0.001013453;1518621495,00;1.258.511.415;1475;Benzin;73;94;9.529.429;60.697;0.734415584;11.31
2006;peugeot-206-2006-Benzin;peugeot;206;1,6 I AUT. STC;Small;BenzinSmall;2507;0.000995973;1693820093,00;1.304.990.339;1450;Benzin;55;9.371.428.571;9.036.885;6.418.575;0.725;11.31
2006;audi-a6-2006-Diesel;audi;a6;2,7 TDI;Large;DieselLarge;2422;0.000962204;635396028,00;5.845.816.339;2455;Diesel;165;1.777.692.308;13.387.908;9.164.076.923;0.82601626;10.16
2006;ford-mondeo-2006-Benzin;ford;mondeo;1,8;Large;BenzinLarge;2329;0.000925258;3293808411,00;3.131.268.823;1925;Benzin;107;137;12.242.659;861.198;0.890551181;11.31
2006;volkswagen-golf-2006-Diesel;volkswagen;golf;1,9 TDI;Small;DieselSmall;2316;0.000920093;352567757,00;3.240.555.145;1900;Diesel;77;102;1.102.464;7.656;0.555191257;10.16
2006;volkswagen-touran-2006-Diesel;volkswagen;touran;1,9 TDI;Large;DieselLarge;2276;0.000904202;3913528037,00;3.603.501.196;2200;Diesel;77;1.169.230.769;12.808.703;7.860.853.846;0.608383234;10.16
2006;volkswagen-golf-2006-Benzin;volkswagen;golf;1,6;Large;BenzinLarge;2258;0.000897051;352567757,00;3.259.755.145;2010;Benzin;75;102;1.102.464;7.656;0.975;11.31
2006;peugeot-407-2006-Diesel;peugeot;407;2,0 HDI STC.;Small;DieselSmall;2246;0.000892284;3189147196,00;2.458.754.825;2025;Diesel;80;1.381.578.947;12.837.244;8.636.754.294;0.558241758;10.16
2006;audi-a6-2006-Benzin;audi;a6;2,4 V6 AUT.;Large;BenzinLarge;2226;0.000884338;1176488318,00;1.056.018.607;2100;Benzin;130;1.777.692.308;13.360.752;9.164.076.923;1.108.823.529;11.31
2006;toyota-yaris-2006-Benzin;toyota;yaris;1,0 5D;Small;BenzinSmall;2127;0.000845008;2135724299,00;1.819.375.887;1440;Benzin;51;8.717.647.059;975.375;6.379;0.611351351;11.31
2006;volkswagen-fox-2006-Benzin;volkswagen;fox;1,4;Small;BenzinSmall;2096;0.000832692;1518679907,00;1.406.583.221;1480;Benzin;55;63;9.765.448;63.412;0.689634146;11.31
2006;kia-picanto-2006-Benzin;kia;picanto;1,1;Small;BenzinSmall;2061;0.000818787;1238317757,00;1.040.931.075;1350;Benzin;45;66;8.288;5.6;0.5890625;11.31
2006;opel-astra-2006-Benzin;opel;astra;1,4 16V;Small;BenzinSmall;1970;0.000782635;2735864486,00;2.181.654.179;1825;Benzin;66;97.5;1.085.875;7.555.625;0.711320755;11.31
2006;ford-fiesta-2006-Benzin;ford;fiesta;1,3;Small;BenzinSmall;1922;0.000763566;1517511682,00;1.454.851.796;1550;Benzin;59;8.333.333.333;9.473.464;6.607.377.778;0.689634146;11.31
2006;peugeot-307-2006-Diesel;peugeot;307;1,6 HDI 5 D;Small;DieselSmall;1914;0.000760388;2329007009,00;1.807.639.934;1825;Diesel;80;1.080.769.231;12.273.456;7.697.217.751;0.508;10.16
2006;peugeot-407-2006-Benzin;peugeot;407;2,0 I;Large;BenzinLarge;1869;0.00074251;3189147196,00;2.537.354.825;2050;Benzin;120;1.381.578.947;1.261.876;8.636.754.294;1.154.081.633;11.31
2006;ford-focus-2006-Benzin;ford;focus;1,6;Small;BenzinSmall;1829;0.000726619;2522196262,00;2.392.930.871;1825;Benzin;74;1.021.818.182;12.612.096;8.218.109.091;0.759060403;11.31
2006;peugeot-107-2006-Benzin;peugeot;107;1,0I 5D MAN.;Small;BenzinSmall;1766;0.000701591;1448481308,00;107.974.852;1190;Benzin;50;6.672.727.273;8.218.623;55.909;0.521198157;11.31
2006;peugeot-206-2006-Diesel;peugeot;206;1,4 HDI-3 DØRS;Small;DieselSmall;1728;0.000686494;1693820093,00;1.303.190.339;1525;Diesel;50;9.371.428.571;9.767.108;6.418.575;0.447577093;10.16
2006;opel-vectra-2006-Benzin;opel;vectra;1,8;Large;BenzinLarge;1681;0.000667822;3658329439,00;2.926.820.502;1950;Benzin;114;1.488.571.429;120.888;8.462.571.429;0.85037594;11.31
2006;volkswagen-polo-2006-Benzin;volkswagen;polo;1,4;Small;BenzinSmall;1630;0.000647561;2254649533,00;2.058.862.061;1575;Benzin;55;7.933.333.333;950.796;6.457;0.729677419;11.31
2006;audi-a4-2006-Benzin;audi;a4;1,8 T;Large;BenzinLarge;1594;0.000633259;425296729,00;3.907.826.206;2090;Benzin;147;1.383.333.333;11.516.505;8.106.112;1.047.222.222;11.31
2006;ford-mondeo-2006-Diesel;ford;mondeo;2,2 TDCRI;Small;DieselSmall;1537;0.000610614;3293808411,00;3.161.268.823;2025;Diesel;0;137;12.242.659;861.198;0.608383234;10.16
2006;toyota-aygo-2006-Benzin;toyota;aygo;1,0 5-DØRS HB;Small;BenzinSmall;1486;0.000590353;1470759346,00;124.743.449;1200;Benzin;50;66;8.120.574;55.242;0.521198157;11.31
2006;skoda-fabia-2006-Diesel;skoda;fabia;1,4 TDI COMBI;Small;DieselSmall;1482;0.000588764;1799018692,00;1.686.172.438;1700;Diesel;51;71.5;1.009.635;6.963;0.502970297;10.16
2006;peugeot-207-2006-Benzin;peugeot;207;1,4 I 5 D;Small;BenzinSmall;1361;0.000540694;1974228972,00;1.525.996.928;1670;Benzin;65;1.004.285.714;10.189.452;69.316;0.790909091;11.31
2006;mitsubishi-colt-2006-Benzin;mitsubishi;colt;1,5;Small;BenzinSmall;1347;0.000535132;1827616822,00;1.511.837.744;1425;Benzin;80;110.4;1.019.745;65.382;0.621428571;11.31
2006;ford-focus-2006-Diesel;ford;focus;1,6 TDCI;Small;DieselSmall;1346;0.000534735;2522196262,00;2.452.330.871;2000;Diesel;80;1.021.818.182;1.192.596;8.218.109.091;0.590697674;10.16
2006;opel-corsa-2006-Benzin;opel;corsa;1,2;Small;BenzinSmall;1343;0.000533543;1589193925,00;1.277.666.293;1585;Benzin;66;78;101.916;6.737.664;0.65755814;11.31
2006;volkswagen-passat-2006-Benzin;volkswagen;passat;1,6 FSI;Large;BenzinLarge;1280;0.000508514;3785046729,00;347.463.014;2000;Benzin;110;1.283.333.333;13.195.728;8.657.173.611;0.934710744;11.31
2006;skoda-octavia-2006-Benzin;skoda;octavia;1,6 FSI;Small;BenzinSmall;1245;0.00049461;2943913551,00;2.691.775.776;1800;Benzin;75;1.151.428.571;1.185.601.629;80.889;0.80212766;11.31
2006;audi-a3-2006-Benzin;audi;a3;1,6;Small;BenzinSmall;1212;0.000481499;3317441589,00;3.021.816.746;1800;Benzin;110;110.8;1.049.664;7.499.072;0.819565217;11.31
2006;fiat-panda-2006-Benzin;fiat;panda;1,2;Small;BenzinSmall;1209;0.000480308;1226518692,00;1.099.437.125;1300;Benzin;44;60;8.613.528;55.932;0.631843575;11.31
2006;toyota-yaris-2006-Diesel;toyota;yaris;1,4 D - 4D 5 DØRS;Small;DieselSmall;1174;0.000466403;2135724299,00;1.866.775.887;1525;Diesel;64;8.717.647.059;975.375;6.379;0.457657658;10.16
2006;ford-ka-2006-Benzin;ford;ka;1,6 SPORT;Small;BenzinSmall;1153;0.00045806;1167021028,00;1.117.829.745;1275;Benzin;51;70;8.083.822;59.006;0.669230769;11.31
2006;hyundai-matrix-2006-Benzin;hyundai;matrix;1,8;Small;BenzinSmall;1151;0.000457266;204432243,00;1.620.167.153;1800;Benzin;90;106.5;11.471.472;70.035;0.825547445;11.31
2006;peugeot-207-2006-Diesel;peugeot;207;1,6 HDI 5 D;Small;DieselSmall;1144;0.000454485;1974228972,00;1.528.396.928;1700;Diesel;50;1.004.285.714;10.189.452;69.316;0.457657658;10.16
